iter	Passed	Remaining
0	73	73818
1	75	37728
2	76	25564
3	78	19494
4	79	15862
5	81	13426
6	82	11666
7	83	10385
8	85	9360
9	86	8528
10	87	7864
11	88	7324
12	90	6850
13	91	6468
14	93	6163
15	95	5896
16	97	5632
17	98	5384
18	99	5162
19	101	4960
20	102	4795
21	104	4635
22	105	4499
23	107	4365
24	108	4243
25	110	4126
26	111	4009
27	113	3930
28	114	3834
29	115	3743
30	116	3655
31	118	3572
32	119	3495
33	120	3425
34	121	3355
35	122	3290
36	124	3229
37	125	3171
38	126	3115
39	128	3078
40	129	3031
41	131	2989
42	132	2946
43	133	2907
44	135	2870
45	136	2837
46	138	2799
47	139	2764
48	140	2732
49	142	2699
50	143	2675
51	145	2646
52	146	2615
53	147	2583
54	148	2556
55	149	2528
56	151	2502
57	152	2476
58	153	2452
59	155	2429
60	156	2406
61	157	2383
62	158	2359
63	159	2337
64	160	2314
65	162	2292
66	163	2270
67	163	2242
68	164	2222
69	166	2205
70	167	2189
71	168	2170
72	169	2150
73	170	2132
74	171	2118
75	172	2102
76	174	2085
77	175	2070
78	176	2055
79	177	2041
80	178	2025
81	179	2010
82	180	1996
83	181	1983
84	182	1966
85	183	1954
86	184	1937
87	185	1924
88	186	1912
89	187	1900
90	189	1888
91	190	1876
92	191	1866
93	192	1854
94	193	1843
95	194	1833
96	195	1822
97	196	1811
98	198	1803
99	199	1794
100	200	1786
101	201	1772
102	202	1762
103	203	1752
104	204	1744
105	205	1735
106	207	1727
107	208	1719
108	209	1712
109	210	1704
110	211	1696
111	212	1688
112	214	1680
113	215	1673
114	216	1667
115	217	1657
116	218	1650
117	219	1643
118	220	1634
119	222	1628
120	223	1621
121	224	1614
122	225	1606
123	226	1600
124	227	1595
125	229	1588
126	230	1582
127	230	1573
128	232	1567
129	233	1562
130	234	1556
131	235	1551
132	237	1545
133	238	1540
134	239	1534
135	240	1530
136	242	1525
137	243	1518
138	244	1514
139	245	1510
140	247	1505
141	248	1501
142	249	1497
143	251	1493
144	252	1489
145	253	1484
146	254	1479
147	256	1474
148	257	1470
149	258	1465
150	259	1461
151	260	1455
152	262	1450
153	263	1445
154	264	1440
155	265	1436
156	266	1432
157	267	1427
158	268	1422
159	270	1418
160	271	1414
161	272	1409
162	273	1405
163	274	1400
164	276	1397
165	277	1393
166	278	1388
167	279	1384
168	280	1380
169	281	1375
170	282	1371
171	284	1367
172	285	1364
173	286	1360
174	287	1356
175	288	1351
176	289	1347
177	291	1343
178	292	1339
179	293	1335
180	293	1329
181	295	1326
182	296	1322
183	297	1319
184	298	1316
185	299	1312
186	301	1309
187	302	1305
188	303	1302
189	304	1299
190	305	1295
191	307	1292
192	308	1289
193	311	1292
194	312	1290
195	313	1287
196	315	1284
197	316	1281
198	317	1278
199	318	1275
200	320	1272
201	321	1270
202	323	1268
203	324	1265
204	325	1262
205	326	1259
206	327	1255
207	329	1253
208	330	1250
209	331	1246
210	332	1243
211	333	1240
212	334	1237
213	336	1234
214	337	1231
215	338	1228
216	339	1226
217	341	1223
218	342	1220
219	343	1217
220	344	1214
221	345	1211
222	346	1208
223	348	1205
224	349	1202
225	350	1199
226	351	1196
227	352	1193
228	353	1190
229	354	1187
230	355	1184
231	356	1181
232	358	1179
233	359	1176
234	360	1173
235	361	1170
236	362	1167
237	363	1164
238	365	1162
239	366	1160
240	367	1157
241	368	1154
242	370	1152
243	371	1150
244	372	1148
245	373	1145
246	374	1142
247	376	1140
248	377	1137
249	378	1135
250	379	1133
251	380	1130
252	382	1128
253	383	1125
254	384	1123
255	385	1120
256	386	1118
257	387	1115
258	388	1112
259	389	1109
260	391	1107
261	392	1104
262	393	1102
263	394	1100
264	395	1097
265	396	1094
266	397	1092
267	398	1089
268	400	1087
269	401	1084
270	402	1082
271	403	1079
272	404	1077
273	405	1074
274	406	1072
275	407	1070
276	408	1067
277	410	1065
278	411	1062
279	412	1061
280	413	1059
281	415	1056
282	416	1054
283	417	1052
284	418	1050
285	419	1047
286	420	1045
287	422	1043
288	423	1041
289	424	1039
290	425	1037
291	427	1035
292	428	1033
293	429	1031
294	430	1028
295	431	1026
296	432	1024
297	434	1022
298	435	1020
299	436	1018
300	437	1016
301	439	1014
302	440	1012
303	441	1010
304	442	1008
305	443	1006
306	444	1003
307	445	1001
308	446	999
309	447	997
310	449	995
311	450	992
312	451	990
313	452	988
314	453	986
315	454	984
316	456	982
317	457	980
318	458	978
319	459	976
320	460	975
321	462	973
322	463	971
323	464	969
324	466	968
325	467	966
326	469	965
327	470	963
328	471	962
329	473	960
330	474	958
331	475	956
332	477	955
333	478	953
334	479	951
335	480	950
336	482	948
337	483	946
338	484	944
339	485	942
340	486	941
341	488	939
342	489	937
343	490	935
344	491	933
345	493	932
346	494	930
347	496	929
348	497	927
349	499	928
350	502	929
351	504	928
352	505	927
353	507	925
354	508	923
355	509	922
356	511	920
357	512	919
358	513	917
359	515	915
360	516	914
361	517	912
362	518	910
363	519	908
364	521	906
365	522	905
366	524	903
367	525	902
368	526	900
369	527	898
370	528	896
371	530	894
372	531	893
373	532	891
374	534	890
375	535	888
376	536	886
377	537	884
378	538	882
379	539	880
380	541	878
381	542	877
382	543	875
383	544	874
384	546	872
