iter	Passed	Remaining
0	1	1819
1	3	1574
2	4	1529
3	5	1468
4	7	1491
5	8	1482
6	10	1480
7	11	1485
8	13	1487
9	14	1484
10	16	1482
11	17	1464
12	19	1451
13	20	1433
14	21	1435
15	23	1429
16	24	1422
17	26	1420
18	27	1422
19	29	1421
20	30	1418
21	31	1415
22	33	1405
23	34	1396
24	35	1393
25	37	1387
26	38	1381
27	39	1378
28	41	1381
29	42	1380
30	43	1374
31	45	1370
32	46	1369
33	48	1365
34	49	1366
35	50	1362
36	52	1356
37	53	1351
38	54	1352
39	56	1351
40	57	1346
41	58	1343
42	60	1342
43	61	1342
44	63	1343
45	64	1338
46	65	1336
47	67	1332
48	68	1329
49	70	1338
50	72	1347
51	73	1344
52	75	1342
53	76	1336
54	77	1332
55	78	1327
56	79	1322
57	81	1315
58	82	1313
59	83	1309
60	84	1307
61	86	1305
62	87	1301
63	89	1303
64	90	1300
65	91	1296
66	92	1294
67	94	1291
68	95	1286
69	96	1285
70	97	1281
71	99	1282
72	100	1280
73	102	1277
74	103	1275
75	104	1272
76	105	1268
77	107	1265
78	108	1263
79	109	1259
80	110	1256
81	111	1252
82	112	1242
83	113	1238
84	115	1238
85	116	1238
86	117	1235
87	118	1232
88	120	1229
89	121	1226
90	122	1222
91	123	1218
92	124	1215
93	125	1213
94	127	1211
95	128	1211
96	130	1212
97	131	1210
98	132	1208
99	134	1207
100	135	1206
101	136	1205
102	138	1204
103	139	1204
104	141	1202
105	142	1201
106	144	1204
107	145	1205
108	147	1205
109	148	1204
110	150	1202
111	152	1206
112	153	1204
113	154	1203
114	156	1202
115	157	1200
116	158	1196
117	160	1196
118	161	1195
119	162	1192
120	164	1191
121	165	1190
122	166	1189
123	168	1188
124	169	1187
125	171	1188
126	172	1185
127	173	1185
128	175	1185
129	176	1184
130	178	1183
131	179	1182
132	181	1180
133	182	1178
134	183	1176
135	184	1173
136	186	1171
137	187	1169
138	188	1170
139	190	1168
140	191	1167
141	192	1164
142	193	1162
143	195	1161
144	196	1160
145	198	1158
146	199	1156
147	200	1154
148	201	1152
149	203	1152
150	204	1151
151	206	1151
152	207	1150
153	209	1149
154	210	1149
155	212	1147
156	213	1146
157	214	1143
158	215	1141
159	216	1138
160	217	1135
161	219	1134
162	220	1134
163	222	1132
164	223	1131
165	224	1129
166	226	1127
167	227	1124
168	228	1123
169	229	1120
170	230	1118
171	232	1119
172	233	1117
173	235	1116
174	236	1115
175	237	1113
176	238	1111
177	240	1108
178	241	1106
179	242	1104
180	243	1101
181	244	1099
182	245	1097
183	246	1095
184	248	1095
185	250	1094
186	251	1092
187	252	1090
188	253	1087
189	254	1085
190	255	1082
191	256	1080
192	257	1078
193	259	1076
194	260	1074
195	261	1072
196	263	1072
197	264	1070
198	265	1068
199	266	1066
200	267	1064
201	268	1061
202	270	1060
203	271	1058
204	272	1056
205	273	1053
206	274	1051
207	275	1050
208	276	1047
209	278	1046
210	279	1045
211	280	1043
212	281	1041
213	283	1039
214	284	1037
215	285	1035
216	286	1033
217	287	1031
218	288	1029
219	289	1027
220	290	1025
221	292	1023
222	293	1022
223	294	1020
224	295	1018
225	296	1016
226	297	1014
227	299	1012
228	300	1010
229	301	1008
230	302	1006
231	303	1004
232	304	1003
233	305	1001
234	307	999
235	308	999
236	309	997
237	310	995
238	311	993
239	313	991
240	314	989
241	315	987
242	316	985
243	317	983
244	318	982
245	319	980
246	321	979
247	322	978
248	324	977
249	325	975
250	326	973
251	327	971
252	328	970
253	329	968
254	330	966
255	332	964
256	333	963
257	334	961
258	335	959
259	336	958
260	338	959
261	340	957
262	341	955
263	342	954
264	343	952
265	344	950
266	345	949
267	346	947
268	347	945
269	348	943
270	350	942
271	351	940
272	352	939
273	354	938
274	355	936
275	356	935
276	357	934
277	359	932
278	360	931
279	361	930
280	362	928
281	364	927
282	365	925
283	366	923
284	367	922
285	369	921
286	370	919
287	371	918
288	372	917
289	374	916
290	375	914
291	376	912
292	377	910
293	378	909
294	380	908
295	381	907
296	383	906
297	384	905
298	385	904
299	386	902
300	388	901
301	389	900
302	390	898
303	391	897
304	393	896
305	394	895
306	396	894
307	397	893
308	398	891
309	400	890
310	401	889
311	402	888
312	404	887
313	405	885
314	406	883
315	407	882
316	408	880
317	410	879
318	411	878
319	413	878
320	414	877
321	416	876
322	417	874
323	418	873
324	419	871
325	421	870
326	422	869
327	423	868
328	424	866
329	426	865
330	427	864
331	428	863
332	430	861
333	431	860
334	432	858
335	433	857
336	435	856
337	436	854
338	437	853
339	439	852
340	440	851
341	441	850
342	443	849
343	444	848
344	445	846
345	447	846
346	449	844
347	450	843
348	451	841
349	452	840
350	453	839
351	455	838
352	456	837
353	458	835
354	459	834
355	460	833
356	462	832
357	463	831
358	465	830
359	466	829
360	467	827
361	468	826
362	470	825
363	471	824
364	473	823
365	474	822
366	475	820
367	477	819
368	478	818
369	479	816
370	480	815
371	482	813
372	483	812
373	484	810
374	485	809
375	487	809
376	488	807
377	490	806
378	491	804
379	492	803
380	493	802
381	494	800
382	496	799
383	497	798
384	498	796
385	500	796
386	501	794
387	502	793
388	504	791
389	505	790
390	506	789
391	508	787
392	509	786
393	510	785
394	512	784
395	513	783
396	515	782
397	516	781
398	517	780
399	519	778
400	520	777
401	521	776
402	523	774
403	524	773
404	525	772
405	526	770
406	528	769
407	529	768
408	530	766
409	532	765
410	533	764
411	535	763
412	536	762
413	537	760
414	538	759
415	540	758
416	541	756
417	542	755
418	543	753
419	544	752
420	546	751
421	547	749
422	548	748
423	550	747
424	551	746
425	553	745
426	554	744
427	555	742
428	556	741
429	558	739
430	559	738
431	560	737
432	562	736
433	563	734
434	564	733
435	565	732
436	567	730
437	568	729
438	569	728
439	571	726
440	572	725
441	573	723
442	574	722
443	576	721
444	577	720
445	578	719
446	580	717
447	581	716
448	582	714
449	583	713
450	585	712
451	586	711
452	587	709
453	588	708
454	589	706
455	591	705
456	592	703
457	593	702
458	594	701
459	596	700
460	597	698
461	598	697
462	600	695
463	601	694
464	602	693
465	603	691
466	605	690
467	606	689
468	608	688
469	609	687
470	611	686
471	612	685
472	613	683
473	614	682
474	616	681
475	617	680
476	619	679
477	620	677
478	621	676
479	623	675
480	624	673
481	625	672
482	627	671
483	628	669
484	629	668
485	630	667
486	632	665
487	633	664
488	634	663
489	636	662
490	637	660
491	638	659
492	640	658
493	641	657
494	642	655
495	644	654
496	645	653
497	647	652
498	648	650
499	649	649
500	650	648
501	651	646
502	653	645
503	654	644
504	655	642
505	656	641
506	658	639
507	659	638
508	660	637
509	662	636
510	664	635
511	665	634
512	667	633
513	668	631
514	669	630
515	671	629
516	672	628
517	673	626
518	674	625
519	676	624
520	677	622
521	678	621
522	680	620
523	681	618
524	682	617
525	683	616
526	684	614
527	685	613
528	687	611
529	688	610
530	689	608
531	690	607
532	692	606
533	693	605
534	695	604
535	696	602
536	697	601
537	698	600
538	699	598
539	701	597
540	702	596
541	703	594
542	705	593
543	706	592
544	707	590
545	708	589
546	710	588
547	711	586
548	712	585
549	714	584
550	715	583
551	716	581
552	718	580
553	719	579
554	720	578
555	722	577
556	724	575
557	725	574
558	727	573
559	728	572
560	729	571
561	731	569
562	732	568
563	733	566
564	734	565
565	735	564
566	737	563
567	738	562
568	740	560
569	741	559
570	742	557
571	743	556
572	745	555
573	746	553
574	747	552
575	749	551
576	750	550
